nom,prix_intervalle,rating,nb_notes,adresse,ville,main_category,commune,code_postal,arrondissement,zone_paris
Nach Paris17,15.0,4.9,2021,74 Av. de Clichy,"Paris, Ile-de-France, France",fast food,Paris,75017.0,17.0,peripherie
LAmbroisie,100.0,4.9,1571,9 Pl. des Vosges,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Pho Tai,15.0,4.9,3388,13 Rue Philibert Lucot,"Paris, Ile-de-France, France",restaurant vietnamiens,Paris,75013.0,13.0,intermediaire
Vapiano Paris Champs Elysees Pasta Pizza Bar,15.0,4.9,12635,36 Rue Marbeuf,"Paris, Ile-de-France, France",pizzeria,Paris,75008.0,8.0,centre
Le Dulcinea,25.0,4.9,5766,41 Rue Pierre Fontaine,"Paris, Ile-de-France, France",pizzeria,Paris,75009.0,9.0,centre
GrandCur,79.0,4.9,3076,41 Rue du Temple,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Eataly,30.0,4.9,24790,37 Rue Sainte-croix De La Bretonnerie,"Paris, Ile-de-France, France",pizzeria,Paris,75004.0,4.0,centre
MELT Cambronne,25.0,4.9,4805,103 Rue Cambronne,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
CHARLY SAINT-HONORE,25.0,4.9,3096,36 Place du Marche Saint Honore,"Paris, Ile-de-France, France",restaurant americains,Paris,75001.0,1.0,centre
Le Raidd Bar,15.0,4.9,1449,23 Rue du Temple,"Paris, Ile-de-France, France",pub et bar,Paris,75004.0,4.0,centre
Eunoe,38.5,4.9,1013,6 Rue Rochebrune,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Bistrot Paul Bert,52.5,4.9,3674,18 Rue Paul Bert,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Le Camondo,42.5,4.9,2471,61bis Rue de Monceau,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Langosteria,100.0,4.9,1155,"Cheval Blanc Paris, 8 Quai du Louvre","Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Le Cafe du Commerce,30.0,4.9,9165,51 Rue du Commerce,"Paris, Ile-de-France, France",cafe,Paris,75015.0,15.0,intermediaire
LOsteria Paris Chatelet,25.0,4.9,2389,27 Rue Aubry Le Boucher,"Paris, Ile-de-France, France",restaurant italiens,Paris,75004.0,4.0,centre
Nous4 Cuisine Bistronomique,34.0,4.9,1158,3 Rue Beccaria,"Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
Isshin Ramen specialites de ramen de Kyushu,15.0,4.9,1457,84 Rue Baudricourt,"Paris, Ile-de-France, France",restaurant,Paris,75013.0,13.0,intermediaire
Kokodak Paris 6 - Restaurant Coreen,25.0,4.9,1586,22 Rue des Canettes,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Delhi Bazaar,25.0,4.9,5451,71 Rue Servan,"Paris, Ile-de-France, France",restaurant indiens,Paris,75011.0,11.0,intermediaire
Bistro Mon Reve,25.0,4.9,1317,68 Av. Felix Faure,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Geosmine,100.0,4.9,916,71 Rue de la Folie Mericourt,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
A Table,35.0,4.9,389,28 Rue du General Bertrand,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Le Cyrano,30.0,4.9,1109,3 Rue Biot,"Paris, Ile-de-France, France",pub et bar,Paris,75017.0,17.0,peripherie
Dalmata,25.0,4.9,10748,21 Rue de Charonne,"Paris, Ile-de-France, France",pizzeria,Paris,75011.0,11.0,intermediaire
Le Chardenoux Cyril Lignac,53.5,4.9,3937,1 Rue Jules Valles,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
LEvade,34.0,4.9,923,23 Rue Clauzel,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Le Petit Cambodge,25.0,4.9,2605,24 Avenue Claude Vellefaux,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Le Caribeen Paris 10,15.0,4.9,1390,99 Rue du Faubourg Saint-Denis,"Paris, Ile-de-France, France",fast food,Paris,75010.0,10.0,intermediaire
Kome Kome,15.0,4.9,2145,43 Rue de Caumartin,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
LE PARISIEN,20.0,4.9,2564,72 Bd de Magenta,"Paris, Ile-de-France, France",cafe georgien,Paris,75010.0,10.0,intermediaire
LAtelier Entrecote Volaille,35.0,4.9,6181,128 Rue Reaumur,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
Restaurant Mache,100.0,4.9,1016,61 Rue de Chabrol,"Paris, Ile-de-France, France",restaurant francais,Paris,75010.0,10.0,intermediaire
Gran Caffe Convivium,32.0,4.9,9565,28 Rue Marbeuf,"Paris, Ile-de-France, France",restaurant italiens,Paris,75008.0,8.0,centre
Amalia Restaurant,100.0,4.9,338,32 Rue de la Fontaine au Roi,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Le Malakoff,25.0,4.9,4186,6 Pl. du Trocadero et du 11 Novembre,"Paris, Ile-de-France, France",restaurant francais,Paris,75116.0,16.0,peripherie
Folies Pigalle,15.0,4.9,2033,11 Pl. Pigalle,"Paris, Ile-de-France, France",club,Paris,75009.0,9.0,centre
Le Royal,25.0,4.9,3049,1 Place Andre Malraux,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Akabeko,100.0,4.9,873,40 Rue de lUniversite,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Julia,15.0,4.9,2559,83 Rue Mouffetard,"Paris, Ile-de-France, France",fast food,Paris,75005.0,5.0,centre
Union Square,15.0,4.9,9342,17 Rue Saint-Severin,"Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
Le Bistrot des Fables,60.0,4.9,491,139 Rue Saint-Dominique,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
LEscudella,34.0,4.9,1387,41 Av. de Segur,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
La Petite Bouclerie,15.0,4.9,4269,33 Rue de la Harpe,"Paris, Ile-de-France, France",desserts,Paris,75005.0,5.0,centre
Constant. Cafe,5.5,4.9,286,3 Rue Augereau,"Paris, Ile-de-France, France",cafe georgien,Paris,75007.0,7.0,centre
TIVOLI BRASSERIE ITALIENNE,25.0,4.9,3842,5 Rue La Fayette,"Paris, Ile-de-France, France",pizzeria,Paris,75009.0,9.0,centre
Maison Cluny,18.0,4.9,845,3 Rue de Cluny,"Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
RESTAURANT ERH,100.0,4.9,1433,11 Rue Tiquetonne,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
JAMROCK PARIS,35.0,4.9,1301,16 Rue de Candie,"Paris, Ile-de-France, France",restaurant jamaicains,Paris,75011.0,11.0,intermediaire
Les Turbines,20.0,4.9,4390,21 R. de Turbigo,"Paris, Ile-de-France, France",pizzeria,Paris,75002.0,2.0,centre
Bistro Aldo,25.0,4.9,5863,81 Boulevard de Strasbourg,"Paris, Ile-de-France, France",cafe,Paris,75010.0,10.0,intermediaire
Brasserie Lipp,36.5,4.9,10727,151 Bd Saint-Germain,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Petit Boutary,48.5,4.9,1924,16 Rue Jacquemont,"Paris, Ile-de-France, France",restaurant francais,Paris,75017.0,17.0,peripherie
Perlamatta,25.0,4.9,4539,114 Rue de la Convention,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
AUCIEL,25.0,4.9,1699,"97 Rue de Charonne, 11eme Arrondissement","Paris, Ile-de-France, France",restaurant chinois,Paris,75011.0,11.0,intermediaire
Le Cornichon - Paris 14 - Maison fondee en 2011,38.5,4.9,1501,34 Rue Gassendi,"Paris, Ile-de-France, France",restaurant francais,Paris,75014.0,14.0,intermediaire
Comme Chez Maman,26.0,4.9,2253,5 Rue des Moines,"Paris, Ile-de-France, France",restaurant francais,Paris,75017.0,17.0,peripherie
McDonalds,15.0,4.9,2462,"Gare De Lyon Hall, Pl. Louis Armand 1","Paris, Ile-de-France, France",fast food,Paris,75012.0,12.0,intermediaire
Madame Guan - Chatelet,5.5,4.9,726,63 Rue Saint-Martin,"Paris, Ile-de-France, France",restaurant chinois,Paris,75004.0,4.0,centre
Godaille,32.5,4.9,594,9 Rue Antoine Vollon,"Paris, Ile-de-France, France",restaurant,Paris,75012.0,12.0,intermediaire
Casa Di Peppe,25.0,4.9,6994,222 Rue Saint-Jacques,"Paris, Ile-de-France, France",pizzeria,Paris,75005.0,5.0,centre
Noura Marceau,27.5,4.9,7007,27 Av. Marceau,"Paris, Ile-de-France, France",restaurant,Paris,75116.0,16.0,peripherie
Boutary,100.0,4.9,3456,25 Rue Mazarine,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Bloom Sushi Wagram,30.0,4.9,1302,99 Rue Jouffroy dx27Abbans,"Paris, Ile-de-France, France",sushis,Paris,75017.0,17.0,peripherie
Brasserie du Louvre,50.0,4.9,2224,"Place Andre Malraux, Paris, Ile-de-France, France, 75001","Paris, Ile-de-France, France",restaurant francais,Paris,75001.0,1.0,centre
Petit Bao - Etienne Marcel,25.0,4.9,5598,"116 rue Saint-Denis, 75002","Paris, Ile-de-France, France",chinois,Paris,75002.0,2.0,centre
Il Ristorante - Niko Romito,100.0,4.9,327,30 Av. George V,"Paris, Ile-de-France, France",restaurant italiens,Paris,75008.0,8.0,centre
Choubidou Paris Montparnasse,15.0,4.9,2434,13 Pl. de Catalogne,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Le Potager du Marais,25.0,4.9,3322,26 Rue Saint-Paul,"Paris, Ile-de-France, France",vegetarien,Paris,75004.0,4.0,centre
Rosemarie,47.0,4.9,569,149 Rue De Luniversite,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Restaurant Bistrot Le dome Paris 15,25.0,4.9,1701,6 Rue Du Hameau,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
"Choukran Saint-georges, Paris 9",15.0,4.9,3388,29 Rue Saint-Georges,"Paris, Ile-de-France, France",restaurant marocains,Paris,75009.0,9.0,centre
Le Recamier,30.0,4.9,4882,4 Rue Juliette Recamier,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Mala Town,15.0,4.9,3403,44 R. de Turbigo,"Paris, Ile-de-France, France",restaurant,Paris,75003.0,3.0,centre
La Table de Yemma,15.0,4.9,5173,115 Bd de Menilmontant,"Paris, Ile-de-France, France",restaurant algeriens,Paris,75011.0,11.0,intermediaire
Mon Coco,25.0,4.9,6359,6 Pl. de la Republique,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Le Progres Marais,20.0,4.9,1667,1 Rue de Bretagne,"Paris, Ile-de-France, France",cafeteria,Paris,75003.0,3.0,centre
Le Paradis du Fruit - Wagram,25.0,4.9,4820,32 Av. de Wagram,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Kong,100.0,4.9,19889,1 Rue du Pont Neuf,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Suzie Wong - Restaurant Chinois,25.0,4.9,1763,24 Rue des Taillandiers,"Paris, Ile-de-France, France",restaurant chinois,Paris,75011.0,11.0,intermediaire
Nirvana Inde,25.0,4.9,4975,6 Rue de Moscou,"Paris, Ile-de-France, France",restaurant indiens,Paris,75008.0,8.0,centre
LA PALETTE - PARIS,20.0,4.9,3888,43 Rue de Seine,"Paris, Ile-de-France, France",cafe,Paris,75006.0,6.0,centre
Cafe Saint Honore,25.0,4.9,4377,194 Rue Saint-Honore,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
20 Eiffel,40.0,4.9,1897,20 Rue de Monttessuy,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Le Florentin,25.0,4.9,3485,10 Rue Saint-Florentin,"Paris, Ile-de-France, France",restaurant francais,Paris,75001.0,1.0,centre
Vaisseau,100.0,4.9,327,35 Rue Faidherbe,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Restaurant Biche,24.0,4.9,1326,129 Rue du Faubourg Saint-Honore,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Cafe des Arts,15.0,4.9,2881,2 Rue de lAmiral de Coligny,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Los Pollos,15.0,4.9,3217,18 Rue de la Roquette,"Paris, Ile-de-France, France",fast food,Paris,75011.0,11.0,intermediaire
Frenchie Pigalle,23.0,4.9,707,29 Rue Victor Masse,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Uno,25.0,4.9,5015,37 Rue Berger,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
PACKIAMS,25.0,4.9,2811,72 Bd de Strasbourg,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Bistro S,40.5,4.9,752,7 Rue Saint-Nicolas,"Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
Erso Restaurant,15.5,4.9,359,18 Rue Saint-Ambroise,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Fuwa Fuwa,15.0,4.9,2842,122 Av. de Choisy,"Paris, Ile-de-France, France",cafe,Paris,75013.0,13.0,intermediaire
Chez Loulou,25.0,4.9,3122,63 Rue Rambuteau,"Paris, Ile-de-France, France",restaurant,Paris,75004.0,4.0,centre
SnackRush,15.0,4.9,1440,4 Rue Desaix,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Baieta - Restaurant Paris,100.0,4.9,1402,5 Rue de Pontoise,"Paris, Ile-de-France, France",restaurant francais,Paris,75005.0,5.0,centre
Adami,23.5,4.9,403,19bis Rue Pierre Fontaine,"Paris, Ile-de-France, France",restaurant italiens,Paris,75009.0,9.0,centre
Shodai Matcha,15.0,4.9,7020,7 Rue Volta,"Paris, Ile-de-France, France",desserts,Paris,75003.0,3.0,centre
ChoCho,53.0,4.9,1614,54 Rue de Paradis,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Cafe Charbon,25.0,4.9,3272,109 Rue Oberkampf,"Paris, Ile-de-France, France",cafe,Paris,75011.0,11.0,intermediaire
Brasserie Martin,25.0,4.9,5453,24 Rue Saint-Ambroise,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Gandhi Jis - Restaurant indien Paris 9e,25.0,4.9,3343,12 Rue La Fayette,"Paris, Ile-de-France, France",restaurant indiens,Paris,75009.0,9.0,centre
Neko Ramen,15.0,4.9,9201,6 Rue de la Grange Bateliere,"Paris, Ile-de-France, France",restaurant,Paris,75003.0,3.0,centre
LAvant Comptoir de la Terre et de la Mer,25.0,4.9,4311,3 carrefour de lodeon,"Paris, Ile-de-France, France",pub et bar,Paris,75006.0,6.0,centre
Dessance,100.0,4.9,1884,74 Rue des Archives,"Paris, Ile-de-France, France",restaurant,Paris,75003.0,3.0,centre
SAZ Durum Lahmacun,15.0,4.9,2484,24 Rue du 4 septembre,"Paris, Ile-de-France, France",restaurant turcs,Paris,75002.0,2.0,centre
Nomas Paris 9 - Mexican Street Food,15.0,4.9,1109,21 Bd Montmartre,"Paris, Ile-de-France, France",mexicain,Paris,75002.0,2.0,centre
Prost,25.0,4.9,912,3 Bd Beaumarchais,"Paris, Ile-de-France, France",restaurant,Paris,75004.0,4.0,centre
Brasserie Lutetia,45.5,4.9,1440,43 Bd Raspail,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Brasserie Lazare Paris,30.5,4.9,6130,"Parvis De La Gare Saint-lazare, Rue Interieure","Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
Arty Caffe Paris,15.0,4.9,1479,176 Rue de Rivoli,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Ilang,25.0,4.9,5594,2 bis Rue Daunou,"Paris, Ile-de-France, France",restaurant coreens,Paris,75002.0,2.0,centre
Tripletta Guy Moquet,25.0,4.8,1006,51 Rue Guy Moquet,"Paris, Ile-de-France, France",restaurant italiens,Paris,75017.0,17.0,peripherie
Pink Koi,40.5,4.8,1567,8 Rue Coquilliere,"Paris, Ile-de-France, France",restaurant japonais,Paris,75001.0,1.0,centre
LAZU Restaurant Bouillon47,41.0,4.8,775,47 Rue Marguerite de Rochechouart,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
BOMIE Louvre-Rivoli,5.5,4.8,10813,91 Rue de Rivoli,"Paris, Ile-de-France, France",desserts,Paris,75001.0,1.0,centre
Aldehyde,100.0,4.8,376,5 Rue du Pont Louis-Philippe,"Paris, Ile-de-France, France",pub et bar,Paris,75004.0,4.0,centre
Restaurant Drouant,100.0,4.8,3037,16-18 Rue Gaillon,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
Clamato,65.0,4.8,2507,80 Rue de Charonne,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Substance,100.0,4.8,1779,18 Rue de Chaillot,"Paris, Ile-de-France, France",restaurant francais,Paris,75116.0,16.0,peripherie
Cafe Compagnon,50.0,4.8,698,22-26 Rue Leopold Bellan,"Paris, Ile-de-France, France",cafe,Paris,75002.0,2.0,centre
CASA COSA,25.0,4.8,4090,30 Rue de Mogador,"Paris, Ile-de-France, France",pizzeria,Paris,75009.0,9.0,centre
Frenchie Bar A Vins,15.0,4.8,630,6 Rue du Nil,"Paris, Ile-de-France, France",bars a vin,Paris,75002.0,2.0,centre
La Causerie,42.5,4.8,1171,31 Rue Vital,"Paris, Ile-de-France, France",restaurant francais,Paris,75116.0,16.0,peripherie
Wonderland brunchy Notre Dame Restaurant Brunch,25.0,4.8,3614,4 Quai Dorleans,"Paris, Ile-de-France, France",restaurant,Paris,75004.0,4.0,centre
Julien,25.0,4.8,13253,16 Rue du Faubourg Saint-Denis,"Paris, Ile-de-France, France",restaurant francais,Paris,75010.0,10.0,intermediaire
Marie Akaneya,100.0,4.8,614,12 Rue Godot de Mauroy,"Paris, Ile-de-France, France",sushis,Paris,75009.0,9.0,centre
Colvert,38.5,4.8,1583,30 Rue des Grands Augustins,"Paris, Ile-de-France, France",restaurant francais,Paris,75006.0,6.0,centre
Paris en Scene Diner Croisiere,41.0,4.8,16638,"escale de, Lile aux Cygnes, Pont de Bir-Hakeim","Paris, Ile-de-France, France",restaurant francais,Paris,75015.0,15.0,intermediaire
LExode,15.0,4.8,1320,39 Boulevard de Strasbourg Paris,"Paris, Ile-de-France, France",pub et bar,Paris,75010.0,10.0,intermediaire
Baillotte,15.0,4.8,464,16 Rue du Dragon,"Paris, Ile-de-France, France",restaurant francais,Paris,75006.0,6.0,centre
Signature Montmartre,50.0,4.8,1455,12 Rue des Trois Freres,"Paris, Ile-de-France, France",restaurant,Paris,75018.0,18.0,peripherie
Pavyllon,100.0,4.8,1894,8 Avenue Dutuit,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
KFC Paris Place dItalie,15.0,4.8,5981,211-213 Bd Vincent Auriol,"Paris, Ile-de-France, France",fast food,Paris,75013.0,13.0,intermediaire
Via Del Gusto,25.0,4.8,8506,344 Rue de Vaugirard,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Sir Winston,25.5,4.8,6391,5 Rue de Presbourg,"Paris, Ile-de-France, France",pub et bar,Paris,75116.0,16.0,peripherie
La cantine diderot,15.0,4.8,2217,74 Bd Diderot,"Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
Brasserie Rosie,25.0,4.8,7142,53 Rue du Faubourg Saint-Antoine,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Trantranzai Pantheon,15.0,4.8,2580,"3 Rue de lEcole Polytechnique, 75005","Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
Perruche,49.0,4.8,5484,"Printemps De Lhomme - 9eme Etage, 2 Rue Du Havre","Paris, Ile-de-France, France",pub et bar,Paris,75009.0,9.0,centre
Le George,105.0,4.8,2244,31 Av. George V,"Paris, Ile-de-France, France",restaurant italiens,Paris,75008.0,8.0,centre
Bollynan streetfood indienne - Montorgueil,15.0,4.8,6837,12 Rue des Petits Carreaux,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
LEscargot Montorgueil,30.5,4.8,9940,38 Rue Montorgueil,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Dalia,35.0,4.8,3865,93 Rue Montmartre,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
Oma Beaurepaire,25.0,4.8,1426,6 Rue Beaurepaire,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Le Paradis du Fruit - Opera,25.0,4.8,7621,30 Bd des Italiens,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Relais de lEntrecote,35.0,4.8,12032,15 Rue Marbeuf,"Paris, Ile-de-France, France",restaurant a viande,Paris,75008.0,8.0,centre
Le Relais du 15eme,25.0,4.8,5366,"78, Avenue Emile Zola","Paris, Ile-de-France, France",italien,Paris,75015.0,15.0,intermediaire
Brasserie des Champs,25.0,4.8,3939,122 avenue des Champs-Elysees,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Mian Fan,15.0,4.8,4532,124 Bd du Montparnasse,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Assanabel Republique - Marais,35.0,4.8,6407,6 Rue Pierre Chausson,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Tripletta Gaite,15.0,4.8,2850,1 Impasse de la Gaite,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Le Bouchon Parisien,30.0,4.8,2722,28 Av. de Suffren,"Paris, Ile-de-France, France",restaurant francais,Paris,75015.0,15.0,intermediaire
La Charrette a Crepes,5.5,4.8,1607,19 Rue Ferdinand Duval,"Paris, Ile-de-France, France",desserts,Paris,75004.0,4.0,centre
Gigi Paris,100.0,4.8,4174,15 Av. Montaigne,"Paris, Ile-de-France, France",restaurant italiens,Paris,75008.0,8.0,centre
The Kitchen,25.0,4.8,6726,44 Rue de Ponthieu,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
Leader Sushi,15.0,4.8,3390,78 Rue Rambuteau,"Paris, Ile-de-France, France",sushis,Paris,75001.0,1.0,centre
Abri Soba,25.0,4.8,1628,10 Rue Saulnier,"Paris, Ile-de-France, France",restaurant japonais,Paris,75009.0,9.0,centre
Le Gabriel,100.0,4.8,1852,"42, Avenue Gabriel La Reserve Hotel, Spa and Apartments","Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Restaurant Kei,100.0,4.8,3090,5 Rue Coq Heron,"Paris, Ile-de-France, France",restaurant francais,Paris,75001.0,1.0,centre
"CHOUKRAN Restaurant Marocain, Paris 2",15.0,4.8,1743,69 Rue dAboukir,"Paris, Ile-de-France, France",restaurant marocains,Paris,75002.0,2.0,centre
Bacha Coffee Champs-elysees,25.0,4.8,956,26 Av. des Champs-Elysees,"Paris, Ile-de-France, France",cafe,Paris,75008.0,8.0,centre
Oktobre,100.0,4.8,1226,25 Rue des Grands Augustins,"Paris, Ile-de-France, France",restaurant francais,Paris,75006.0,6.0,centre
Pur,100.0,4.8,2426,"5 Rue de La Paix, Park Hyatt Paris","Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
SHU YUAN,25.0,4.8,1678,29 Bd des Italiens,"Paris, Ile-de-France, France",restaurant chinois,Paris,75002.0,2.0,centre
Le Beef,15.5,4.8,7758,33 Rue des Rosiers,"Paris, Ile-de-France, France",restaurant a viande,Paris,75004.0,4.0,centre
MELT Batignolles,25.0,4.8,4245,83 Rue Legendre,"Paris, Ile-de-France, France",bbq,Paris,75017.0,17.0,peripherie
Hadramaout - Le Restaurant Yemenite Champs Elysees,25.0,4.8,3286,"Galerie Berri-Washington, 5 Rue de Berri","Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
BAOBAR - Restaurant Chinois,25.0,4.8,3480,42 Rue Sainte-Croix de la Bretonnerie,"Paris, Ile-de-France, France",restaurant,Paris,75004.0,4.0,centre
Bistro des Lettres,30.0,4.8,2858,52 Bd Saint-Germain,"Paris, Ile-de-France, France",restaurant francais,Paris,75005.0,5.0,centre
Tiger Tiger - Restaurant Chinois,25.0,4.8,2382,15 Rue Rene Boulanger,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Hippopotamus Steakhouse,25.0,4.8,8609,1 Boulevard Des Capucines,"Paris, Ile-de-France, France",restaurant a viande,Paris,75002.0,2.0,centre
Au Ptit Crepe,15.0,4.8,3649,25 Rue St Denis,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
La Grande Cascade,100.0,4.8,3896,Rte de la Vge aux Berceaux,"Paris, Ile-de-France, France",restaurant francais,Paris,75016.0,16.0,peripherie
Magma Chef Ryuya Ono,100.0,4.8,728,9 Rue Jean-Pierre Timbaud,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Brasserie Bellanger,25.0,4.8,5905,140 Rue du Faubourg Poissonniere,"Paris, Ile-de-France, France",restaurant francais,Paris,75010.0,10.0,intermediaire
La Taverne de Zhao Batignolles,15.0,4.8,821,59 Rue des Dames,"Paris, Ile-de-France, France",restaurant chinois,Paris,75017.0,17.0,peripherie
Maison Blanche,25.0,4.8,2162,21 Rue de la Huchette,"Paris, Ile-de-France, France",restaurant francais,Paris,75005.0,5.0,centre
McDonalds,15.0,4.8,22238,140 Av. des Champs-Elysees,"Paris, Ile-de-France, France",fast food,Paris,75008.0,8.0,centre
Le Nelsons - Louvre,36.5,4.8,5268,16 Rue Coquilliere,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Tosca,100.0,4.8,914,20 Rue du Cirque,"Paris, Ile-de-France, France",restaurant italiens,Paris,75008.0,8.0,centre
NooRi,15.0,4.8,4732,20 Rue du Faubourg Saint-Martin,"Paris, Ile-de-France, France",sushis,Paris,75010.0,10.0,intermediaire
Le Moulin de la Galette,17.0,4.8,7664,83 Rue Lepic,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
Indiana Cafe - Les Halles,25.0,4.8,3637,35 Rue du Pont Neuf,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Lentrecote De Paris,25.0,4.8,9072,29 Rue de Marignan,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Korus restaurant,30.5,4.8,1114,73 Rue Amelot,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Le Suffren - Paris,30.5,4.8,8835,84 Av. de Suffren,"Paris, Ile-de-France, France",fruits de mer,Paris,75015.0,15.0,intermediaire
Brasserie La Lorraine,32.5,4.8,7691,2 Pl. des Ternes,"Paris, Ile-de-France, France",fruits de mer,Paris,75008.0,8.0,centre
Amorino Gelato - Paris Commerce,5.5,4.8,1801,90 rue Commerce,"Paris, Ile-de-France, France",desserts,Paris,75015.0,15.0,intermediaire
